identifiantCandidat,genre,nationalite,serie,mentionAuBac,redoublementTerminale,rangEnTerminale,age,annee
20172018,M,IVOIRIENNE,E,PASSABLE,NON,2,19.0,2017
20172024,F,IVOIRIENNE,D,BIEN,NON,2,20.0,2017
20172036,M,IVOIRIENNE,D,ASSEZ-BIEN,OUI,1,22.0,2017
20172052,M,IVOIRIENNE,G2,PASSABLE,NON,1,23.0,2017
20172060,M,GUINEENNE,E,PASSABLE,NON,5,23.0,2017
20172061,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,3,20.0,2017
20172065,M,IVOIRIENNE,F7,ASSEZ-BIEN,NON,1,22.0,2017
20172067,F,IVOIRIENNE,A1,BIEN,OUI,2,21.0,2017
20172073,M,IVOIRIENNE,A1,BIEN,NON,1,21.0,2017
20172075,M,IVOIRIENNE,D,BIEN,NON,2,21.0,2017
20172078,M,IVOIRIENNE,E,ASSEZ-BIEN,NON,3,21.0,2017
20172080,M,IVOIRIENNE,F4,ASSEZ-BIEN,NON,3,22.0,2017
20172090,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,5,21.0,2017
20172091,M,IVOIRIENNE,C,PASSABLE,NON,3,22.0,2017
20172106,M,IVOIRIENNE,F1,PASSABLE,NON,8,20.0,2017
20172114,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,4,21.0,2017
20172118,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,21.0,2017
20172120,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,4,23.0,2017
20172123,F,NIGERIANNE,D,BIEN,NON,9,20.0,2017
20172138,M,IVOIRIENNE,C,BIEN,NON,1,21.0,2017
20172140,M,IVOIRIENNE,B,ASSEZ-BIEN,NON,1,24.0,2017
20172158,M,IVOIRIENNE,C,BIEN,NON,1,20.0,2017
20172165,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,22.0,2017
20172167,M,IVOIRIENNE,D,BIEN,NON,4,21.0,2017
20172169,M,IVOIRIENNE,D,BIEN,NON,1,20.0,2017
20172171,M,NIGERIANNE,C,PASSABLE,NON,3,24.0,2017
20172176,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,6,21.0,2017
20172177,F,IVOIRIENNE,C,ASSEZ-BIEN,NON,3,20.0,2017
20172180,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,5,21.0,2017
20172181,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,3,21.0,2017
20172188,F,BENINOISE,C,BIEN,NON,5,23.0,2017
20172215,M,IVOIRIENNE,F1,ASSEZ-BIEN,OUI,5,26.0,2017
20172938,M,IVOIRIENNE,B,PASSABLE,NON,3,23.0,2017
20172963,M,IVOIRIENNE,C,PASSABLE,NON,4,22.0,2017
20172972,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,1,22.0,2017
20172973,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,21.0,2017
20172979,M,IVOIRIENNE,F3,PASSABLE,NON,3,21.0,2017
20172985,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,3,22.0,2017
20173003,M,IVOIRIENNE,C,PASSABLE,NON,4,21.0,2017
20173020,F,IVOIRIENNE,A1,BIEN,NON,3,21.0,2017
20173032,M,IVOIRIENNE,D,BIEN,NON,1,22.0,2017
20173033,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,1,20.0,2017
20173037,M,IVOIRIENNE,C,BIEN,NON,1,22.0,2017
20173048,M,IVOIRIENNE,D,BIEN,OUI,2,22.0,2017
20173049,M,IVOIRIENNE,C,BIEN,NON,16,23.0,2017
20173055,F,IVOIRIENNE,D,BIEN,NON,2,21.0,2017
20173070,M,IVOIRIENNE,D,BIEN,NON,2,23.0,2017
20173080,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,5,19.0,2017
20173099,M,IVOIRIENNE,D,BIEN,NON,1,21.0,2017
20173100,M,IVOIRIENNE,F7,PASSABLE,NON,3,21.0,2017
20173112,M,IVOIRIENNE,D,BIEN,NON,1,23.0,2017
20173113,M,IVOIRIENNE,F3,PASSABLE,NON,7,23.0,2017
20173117,F,IVOIRIENNE,C,BIEN,NON,2,21.0,2017
20173118,M,IVOIRIENNE,B,PASSABLE,OUI,1,26.0,2017
20173119,M,IVOIRIENNE,D,BIEN,NON,1,23.0,2017
20173122,M,IVOIRIENNE,C,ASSEZ-BIEN,NON,2,25.0,2017
20173126,M,IVOIRIENNE,C,ASSEZ-BIEN,OUI,11,24.0,2017
20173127,M,IVOIRIENNE,D,ASSEZ-BIEN,NON,3,24.0,2017
20173138,F,IVOIRIENNE,C,BIEN,NON,1,21.0,2017
